power, vel
-0.66, -241.327
-0.66, -238.649
-0.66, -239.034
-0.66, -242.138
-0.66, -230.86
-0.66, -242.623
-0.66, -237.777
-0.66, -233.427
-0.66, -237.164
-0.66, -234.082
-0.66, -236.995
-0.66, -236.239
-0.66, -235.052
-0.66, -251.146
-0.66, -240.175
-0.66, -230.68
-0.66, -240.002
-0.66, -238.585
-0.66, -233.427
-0.66, -237.206
-0.66, -235.446
-0.66, -236.953
-0.66, -233.939
-0.66, -235.8
-0.66, -235.052
-0.66, -234.659
-0.66, -241.896
-0.66, -232.025
-0.66, -244.312
-0.64, -241.24
-0.64, -237.417
-0.64, -234.949
-0.64, -222.5
-0.64, -226.796
-0.64, -229.588
-0.64, -231.201
-0.64, -234.123
-0.64, -235.926
-0.64, -229.707
-0.64, -228.115
-0.64, -227.337
-0.64, -233.427
-0.64, -234.907
-0.64, -225.13
-0.64, -220.805
-0.64, -223.545
-0.64, -230.362
-0.64, -222.63
-0.64, -223.302
-0.64, -219.605
-0.64, -222.222
-0.64, -229.588
-0.64, -236.344
-0.64, -227.473
-0.64, -227.901
-0.64, -222.426
-0.64, -229.549
-0.64, -237.311
-0.64, -226.507
-0.64, -225.664
-0.64, -227.492
-0.64, -228.604
-0.64, -232.329
-0.64, -228.526
-0.64, -219.479
-0.64, -230.601
-0.64, -230.561
-0.64, -225.721
-0.64, -238.18
-0.64, -227.144
-0.64, -230.88
-0.64, -218.884
-0.64, -229.984
-0.64, -228.997
-0.64, -228.82
-0.64, -230.362
-0.64, -224.561
-0.64, -232.897
-0.64, -230.143
-0.64, -221.908
-0.62, -234.99
-0.62, -225.397
-0.62, -225.339
-0.62, -226.7
-0.62, -218.938
-0.62, -219.569
-0.62, -224.505
-0.62, -218.025
-0.62, -223.04
-0.62, -221.945
-0.62, -203.578
-0.62, -225.836
-0.62, -229.134
-0.62, -224.354
-0.62, -210.687
-0.62, -215.036
-0.62, -220.641
-0.62, -224.448
-0.62, -222.556
-0.62, -215.245
-0.62, -218.168
-0.62, -224.467
-0.62, -225.492
-0.62, -212.908
-0.62, -216.468
-0.62, -220.879
-0.62, -217.723
-0.62, -222.816
-0.62, -214.673
-0.62, -220.769
-0.62, -221.668
-0.62, -215.314
-0.62, -217.901
-0.62, -219.28
-0.62, -213.044
-0.62, -217.403
-0.62, -220.732
-0.62, -220.988
-0.62, -218.705
-0.62, -217.936
-0.62, -224.335
-0.62, -217.865
-0.62, -224.959
-0.62, -220.422
-0.62, -222.056
-0.62, -217.102
-0.62, -216.099
-0.62, -218.992
-0.62, -224.41
-0.62, -213.573
-0.62, -214.035
-0.6, -222.705
-0.6, -220.44
-0.6, -219.786
-0.6, -236.784
-0.6, -218.132
-0.6, -210.239
-0.6, -213.436
-0.6, -211.137
-0.6, -217.403
-0.6, -216.327
-0.6, -216.064
-0.6, -205.968
-0.6, -218.723
-0.6, -203.687
-0.6, -215.349
-0.6, -203.983
-0.6, -209.134
-0.6, -213.847
-0.6, -212.027
-0.6, -208.529
-0.6, -218.382
-0.6, -212.145
-0.6, -207.7
-0.6, -213.47
-0.6, -206.223
-0.6, -212.348
-0.6, -206.51
-0.6, -211.271
-0.6, -206.478
-0.6, -224.713
-0.6, -210.587
-0.6, -216.785
-0.6, -209.908
-0.6, -213.555
-0.6, -212.976
-0.6, -205.16
-0.6, -210.322
-0.6, -209.611
-0.6, -209.941
-0.6, -210.554
-0.6, -220.313
-0.6, -213.146
-0.6, -219.587
-0.6, -206.366
-0.6, -214.742
-0.6, -208.905
-0.6, -215.523
-0.6, -208.855
-0.6, -221.521
-0.6, -210.222
-0.6, -212.196
-0.58, -210.987
-0.58, -213.385
-0.58, -206.542
-0.58, -209.413
-0.58, -203.33
-0.58, -209.825
-0.58, -205.587
-0.58, -207.232
-0.58, -201.106
-0.58, -199.422
-0.58, -206.686
-0.58, -204.625
-0.58, -218.061
-0.58, -200.546
-0.58, -207.571
-0.58, -206.67
-0.58, -202.097
-0.58, -205.239
-0.58, -197.399
-0.58, -197.971
-0.58, -204.782
-0.58, -201.425
-0.58, -216.415
-0.58, -201.334
-0.58, -195.074
-0.58, -204.986
-0.58, -203.438
-0.58, -203.998
-0.58, -206.526
-0.58, -200.23
-0.58, -205.223
-0.58, -198.059
-0.58, -202.742
-0.58, -200.894
-0.58, -206.895
-0.58, -209.298
-0.58, -207.668
-0.58, -197.941
-0.58, -207.717
-0.58, -198.916
-0.58, -203.392
-0.58, -202.958
-0.58, -199.422
-0.58, -204.374
-0.58, -206.446
-0.58, -203.283
-0.58, -206.895
-0.58, -209.331
-0.58, -201.867
-0.58, -202.219
-0.58, -206.798
-0.56, -205.888
-0.56, -212.704
-0.56, -205.888
-0.56, -197.648
-0.56, -206.047
-0.56, -196.962
-0.56, -196.686
-0.56, -191.186
-0.56, -202.927
-0.56, -203.485
-0.56, -192.47
-0.56, -194.832
-0.56, -197.78
-0.56, -195.36
-0.56, -193.041
-0.56, -196.671
-0.56, -196.497
-0.56, -185.662
